Date	Open	High	Low	Close	Volume	Adj Closeg
Dec 31, 2015	17,590.66	17,590.66	17,421.16	17,425.03	93,690,000	17,425.03
Dec 30, 2015	17,711.94	17,714.13	17,588.87	17,603.87	59,760,000	17,603.87
Dec 29, 2015	17,547.37	17,750.02	17,547.37	17,720.98	69,860,000	17,720.98
Dec 28, 2015	17,535.66	17,536.90	17,437.34	17,528.27	59,770,000	17,528.27
Dec 24, 2015	17,593.26	17,606.34	17,543.95	17,552.17	40,350,000	17,552.17
Dec 23, 2015	17,427.63	17,607.92	17,427.63	17,602.61	92,820,000	17,602.61
Dec 22, 2015	17,253.55	17,451.11	17,242.86	17,417.27	91,570,000	17,417.27
Dec 21, 2015	17,154.94	17,272.36	17,116.73	17,251.62	114,910,000	17,251.62
Dec 18, 2015	17,495.04	17,496.58	17,124.31	17,128.55	344,560,000	17,128.55
Dec 17, 2015	17,756.54	17,796.76	17,493.50	17,495.84	115,780,000	17,495.84
Dec 16, 2015	17,530.85	17,784.36	17,483.68	17,749.09	123,790,000	17,749.09
Dec 15, 2015	17,374.78	17,627.63	17,341.18	17,524.91	123,430,000	17,524.91
Dec 14, 2015	17,277.11	17,378.02	17,138.47	17,368.50	142,540,000	17,368.50
Dec 11, 2015	17,574.75	17,574.75	17,230.50	17,265.21	134,510,000	17,265.21
Dec 10, 2015	17,493.17	17,697.74	17,474.66	17,574.75	107,310,000	17,574.75
Dec 9, 2015	17,558.18	17,767.69	17,403.51	17,492.30	122,020,000	17,492.30
Dec 8, 2015	17,703.99	17,703.99	17,485.39	17,568.00	113,720,000	17,568.00
Dec 7, 2015	17,845.49	17,845.49	17,639.25	17,730.51	99,670,000	17,730.51
Dec 4, 2015	17,482.68	17,866.47	17,482.68	17,847.63	137,650,000	17,847.63
Dec 3, 2015	17,741.57	17,780.59	17,425.56	17,477.67	126,990,000	17,477.67
Dec 2, 2015	17,883.14	17,901.58	17,708.20	17,729.68	102,860,000	17,729.68
Dec 1, 2015	17,719.72	17,895.50	17,719.72	17,888.35	103,880,000	17,888.35
Nov 30, 2015	17,802.84	17,837.24	17,719.79	17,719.92	155,560,000	17,719.92
